DATE,PCE
2015-01-01,12036.5
2015-02-01,12083.1
2015-03-01,12132.2
2015-04-01,12170.3
2015-05-01,12233.6
2015-06-01,12270.3
2015-07-01,12327.5
2015-08-01,12359.3
2015-09-01,12356.4
2015-10-01,12362.3
2015-11-01,12397.5
2015-12-01,12432.8
2016-01-01,12452.1
2016-02-01,12526.3
2016-03-01,12506.8
2016-04-01,12586.0
2016-05-01,12624.4
2016-06-01,12701.7
2016-07-01,12720.6
2016-08-01,12749.8
2016-09-01,12806.8
2016-10-01,12828.1
2016-11-01,12853.6
2016-12-01,12962.9
2017-01-01,13020.4
2017-02-01,13038.6
2017-03-01,13089.3
2017-04-01,13114.1
2017-05-01,13117.6
2017-06-01,13170.3
2017-07-01,13193.5
2017-08-01,13234.1
2017-09-01,13353.4
2017-10-01,13383.4
2017-11-01,13479.8
2017-12-01,13609.0
2018-01-01,13628.4
2018-02-01,13668.3
2018-03-01,13735.4
2018-04-01,13792.1
2018-05-01,13860.2
2018-06-01,13900.2
2018-07-01,13952.3
2018-08-01,14001.1
2018-09-01,14013.0
2018-10-01,14096.5
2018-11-01,14160.6
2018-12-01,14051.7
2019-01-01,14090.0
2019-02-01,14113.9
2019-03-01,14233.8
2019-04-01,14272.6
2019-05-01,14322.1
2019-06-01,14376.6
2019-07-01,14448.3
2019-08-01,14487.0
2019-09-01,14511.2
2019-10-01,14554.2
2019-11-01,14613.8
2019-12-01,14689.2
2020-01-01,14728.8
2020-02-01,14785.7
2020-03-01,13806.0
2020-04-01,12082.4
2020-05-01,13129.4
2020-06-01,13937.5
2020-07-01,14230.1
2020-08-01,14352.8
2020-09-01,14583.3
2020-10-01,14626.1
2020-11-01,14561.0
2020-12-01,14571.1
2021-01-01,14932.2
2021-02-01,14843.2
2021-03-01,15619.1
2021-04-01,15712.6
2021-05-01,15767.9
2021-06-01,15960.1
2021-07-01,16027.9
2021-08-01,16146.0
2021-09-01,16268.0
2021-10-01,16473.7
2021-11-01,16557.9
2021-12-01,16522.4
2022-01-01,16725.6
2022-02-01,16844.5
2022-03-01,17054.2
2022-04-01,17115.6
2022-05-01,17231.1
2022-06-01,17437.4
2022-07-01,17420.3
2022-08-01,17550.9
2022-09-01,17656.8
2022-10-01,17797.9
2022-11-01,17778.8
2022-12-01,17737.2
